note,other_group,group
Lotus,Nelumbo nucifera;,Group: FLOWERS
Lupin,Lupinus;,Group: FLOWERS
Lydia Broom,Genista lydia;,Group: FLOWERS
Lysylang,N/A,Group: FLOWERS
Magnolia,Magnolia grandiflora (Magnoliaceae);,Group: FLOWERS
Magnolia Brooklynensis,magnolia brooklynensis;,Group: FLOWERS
Magnolia Leaf,N/A,Group: FLOWERS
Mahonial,"(4E)-9-hydroxy-5,9-dimethyl-4-decenal;",Group: FLOWERS
Malva,Alcea Rosea;,Group: FLOWERS
Mango Blossom,Mangifera indica;,Group: FLOWERS
Mariposa Lily,Calochortus;,Group: FLOWERS
Mayflower,"Epigaea Repens; Other names: Trailing Arbutus, May Flower",Group: FLOWERS
Meadowsweet,Filipendula Ulmaria; Other names: Mead Wort,Group: FLOWERS
Melilotus,Melilotus arvensis;,Group: FLOWERS
Melissa Flower,Melissa Officinalis;,Group: FLOWERS
Michelia,Magnolia Champaca;,Group: FLOWERS
Mignonette,"Reseda odorata; Other names: Reseda, Sweet Reseda, Weld, Dyer's Rocket,",Group: FLOWERS
Mimosa,"Acacia decurrens var. dealbata (Mimosaceae); Other names: Cassie, Mimose",Group: FLOWERS
Mimusops Elengi,"Mimusops elengi; Other names: Spanish cherry, bullet wood, bakul",Group: FLOWERS
Mirabilis,Mirabilis;,Group: FLOWERS
Monarda,Monarda;,Group: FLOWERS
Monoi Oil,N/A,Group: FLOWERS
Morning Glory Flower,Ipomoea nil;,Group: FLOWERS
Moss Flox,"Phlox Subulata; Other names: creeping phlox, mountain phlox, moss pink",Group: FLOWERS
Myrtle,Myrtus;,Group: FLOWERS
Narcissus,Amaryllidaceae;,Group: FLOWERS
Nard,Nardostachys Jatamansi;,Group: FLOWERS
Nasturtium,Tropaeolum Majus;,Group: FLOWERS
Nectarine Blossom,N/A,Group: FLOWERS
Nerium Oleander,Nerium Oleander;,Group: FLOWERS
Nigella,"Nigella Sativa; Other names: Nigella Damascena, Virgin in the Green, Love-in-a-Mist",Group: FLOWERS
Night Blooming Jasmine,"Cestrum Nocturnum; Other names: Tree of Sorrow, Coral Jasmine, Parijat, Sepalika",Group: FLOWERS
Nom Maew,Rauwenhoffia Siamensis; Other names: Melodorum Siamensis,Group: FLOWERS
Olive flower,Olea europaea;,Group: FLOWERS
Opium,Papaver somniferum;,Group: FLOWERS
Orange Cassia Tree,cassia moschata;,Group: FLOWERS
Orange Flower Water,Citrus x Sinensis;,Group: FLOWERS
Orchard Blossom,N/A,Group: FLOWERS
Orchid,(Orchidaceae);,Group: FLOWERS
Orchid Black Diamond,Sophronitis Wittigiana;,Group: FLOWERS
Orchid Cactus,Epiphyllum; Other names: Orchid Cacti,Group: FLOWERS
Orchid Pink Leopard,Cattleya Waianae;,Group: FLOWERS
Ornithogalum,Ornithogalum umbellatum;,Group: FLOWERS
Orris Root,"Iris germanica, Iris florentina, Iris pallida;",Group: FLOWERS
Osmanthus,N/A,Group: FLOWERS
Pansy,Viola tricolor hortensis;,Group: FLOWERS
Papaya Blossom,N/A,Group: FLOWERS
Paramela,Adesmia boronioides;,Group: FLOWERS
Passion Flower,Passiflora (Passifloraceae);,Group: FLOWERS
Pataqueira,Pataqueira;,Group: FLOWERS
Peach Blossom,Prunus persica;,Group: FLOWERS
Pear Blossom,Rosaceae;,Group: FLOWERS
Pelargonium,Pelargonium; Family Geraniaceae;,Group: FLOWERS
Peony,Paeonia (Paeoniaceae);,Group: FLOWERS
Periwinkle,Littorina littorea;,Group: FLOWERS
Petalia,2-cyclohexylidene-2-(o-tolyl)acetonitrile;,Group: FLOWERS
Petunia,Petunia;,Group: FLOWERS
Phlox,Phlox Paniculata;,Group: FLOWERS
Pineapple Blossom,N/A,Group: FLOWERS
Pink Flamingo Heliconia,Heliconia Rostrata;,Group: FLOWERS
Pink Lily,Zephyranthes Rosea;,Group: FLOWERS
Pittosporum,Pittosporum tobira (Pittosporaceae); Other names: cheesewood,Group: FLOWERS
Plum Blossom,"Prunus mume; Other names: Chinese Plum, Japanese Apricot",Group: FLOWERS
Plumeria,Plumeria L.;,Group: FLOWERS
Poinsettia,Αλεξανδρινή;,Group: FLOWERS
Poppy,Papaveraceae;,Group: FLOWERS
Primrose,Primula vulgaris;,Group: FLOWERS
Princess Tree (Paulownia),Paulownia;,Group: FLOWERS
Privet,Ligustrum;,Group: FLOWERS
Protea,Protea L.;,Group: FLOWERS
Prunella,Prunella Vulgaris;,Group: FLOWERS
Purple Coneflower,Echinacea Purpurea;,Group: FLOWERS
Rangoon Creeper,Combretum Indicum; Other names: Chinese honeysuckle,Group: FLOWERS
Raspberry Blossom,N/A,Group: FLOWERS
Redwood Flower,Caesalpinia Echinata;,Group: FLOWERS
Reseda,"Reseda; Other names: Mignonette, Weld, Dyer's Rocket, Bastard Rocket, Sweet Reseda",Group: FLOWERS
Rhododendron,Rhododendron ponticum;,Group: FLOWERS
Rosa Alba,Rosa Alba L.; Other names: White Rose of York,Group: FLOWERS
N/A,N/A,Group: FLOWERS
Rose,"Rosa gallica, centifollia, damascena;",Group: FLOWERS
Rose Hip,Rosa canina;,Group: FLOWERS
Rose Japanese (Hamanasu),Rosa rugosa;,Group: FLOWERS
Rose Mallow,Lavatera Trimestris;,Group: FLOWERS
Rosebay Willowherb,Chamerion angustifolium;,Group: FLOWERS
Rosebud,Rosa;,Group: FLOWERS
Roselle,Hibiscus Sabdariffa;,Group: FLOWERS
